Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TP53	47	20	8	2	253	73	0	34	1	438	362	362
FAT1	19	22	2	0	31	66	0	4	0	144	115	115
CDKN2A	16	4	4	0	21	61	0	12	0	118	113	113
PIK3CA	0	1	1	0	95	0	0	0	0	97	94	94
NOTCH1	13	5	1	0	60	19	0	3	0	101	91	91
NSD1	14	6	1	0	29	27	0	1	0	78	62	62
CASP8	5	1	2	0	28	19	0	6	1	62	54	54
EP300	0	0	1	0	29	6	0	3	0	39	39	39
FBXW7	3	3	1	0	22	4	0	2	0	35	33	33
HRAS	0	0	0	0	33	1	0	0	0	34	31	31
HLA-A	1	3	0	0	16	8	0	4	0	32	29	29
NFE2L2	0	1	0	0	27	0	0	0	0	28	27	27
EPHA2	3	4	1	0	11	8	0	2	0	29	24	24
HLA-B	2	3	0	0	11	6	0	4	0	26	24	24
TGFBR2	0	0	1	0	17	6	0	2	0	26	24	24
POM121L12	1	0	0	0	21	3	0	0	0	25	23	23
ZNF750	4	4	0	0	8	8	0	0	1	25	23	23
KEAP1	0	1	0	0	22	1	0	0	0	24	22	22
C6	2	0	0	0	18	3	0	0	0	23	22	22
ITGA8	1	0	0	0	17	3	0	1	0	22	21	21
ZNF99	1	1	0	0	20	3	0	0	0	25	20	20
PDE10A	0	0	0	0	19	1	0	0	0	20	20	20
ZNF676	0	0	0	0	19	2	0	0	0	21	19	19
PRB2	0	0	9	0	10	1	0	0	0	20	19	19
RASA1	1	0	2	0	9	6	0	1	0	19	18	18
OR2M5	0	0	0	0	18	2	0	0	0	20	17	17
FCRL4	0	0	0	0	16	2	0	0	0	18	17	17
NPFFR2	1	0	0	0	15	1	0	1	0	18	17	17
OR5D13	1	0	0	0	17	0	0	0	0	18	16	16
EYA1	0	0	0	0	16	1	0	0	0	17	16	16
CUL3	0	1	0	0	10	3	0	2	0	16	16	16
OR6C65	0	11	0	0	5	0	0	0	0	16	16	16
PSG8	0	0	0	0	14	1	0	0	0	15	15	15
SPATA16	1	2	0	0	13	0	0	0	0	16	14	14
LCP1	0	0	0	0	15	0	0	0	0	15	14	14
RAC1	0	0	0	0	15	0	0	0	0	15	14	14
SMAD4	0	0	0	0	10	5	0	0	0	15	14	14
DPPA2	0	0	0	0	14	0	0	0	0	14	14	14
PTEN	1	1	0	0	6	5	0	1	0	14	14	14
NEK5	0	0	0	0	13	0	0	1	0	14	13	13
POTEG	1	0	0	0	12	0	0	1	0	14	13	13
REG1A	0	0	0	0	14	0	0	0	0	14	13	13
AGTR1	0	0	0	0	13	0	0	0	0	13	13	13
AK5	1	0	0	0	11	1	0	0	0	13	13	13
CD1E	1	0	0	0	12	0	0	0	0	13	13	13
RARG	1	0	0	0	12	0	0	0	0	13	13	13
ZNF716	0	0	0	0	12	0	0	0	1	13	13	13
MEF2C	0	0	0	0	10	1	0	1	1	13	12	12
OR8J3	2	0	0	0	10	0	0	0	0	12	12	12
KHDRBS2	0	0	0	0	10	1	0	1	0	12	11	11
OR5L1	0	0	0	0	12	0	0	0	0	12	11	11
DOK6	0	0	0	0	10	1	0	0	0	11	10	10
RHOA	0	0	0	0	9	1	0	0	0	10	10	10
OR2M2	1	0	0	0	9	0	0	0	0	10	9	9
EPDR1	0	0	0	0	8	1	0	0	0	9	9	9
KIR3DL2	0	0	0	0	7	1	1	0	0	9	9	9
MAPK1	0	0	0	0	8	1	0	0	0	9	9	9
B2M	4	1	0	0	3	0	0	0	1	9	8	8
OR4K5	0	1	0	0	7	1	0	0	0	9	8	8
LIN28B	0	1	0	0	7	0	0	0	0	8	8	8
NXPH1	0	0	0	0	7	1	0	0	0	8	8	8
REG1B	0	0	0	0	8	0	0	0	0	8	8	8
HIST1H3C	0	0	0	0	7	0	0	0	0	7	7	7
RSRC1	0	0	0	0	6	1	0	0	0	7	7	7
HIST1H2BG	0	0	1	0	5	0	0	0	0	6	6	6
KRT17	0	6	0	0	0	0	0	0	0	6	6	6
TRIM43	0	0	0	0	6	0	0	0	0	6	6	6
CBWD1	0	0	0	0	1	0	0	4	0	5	5	5
HBG2	0	0	0	0	3	1	0	1	0	5	5	5
NRF1	0	1	0	0	4	0	0	0	0	5	5	5
ALKAL1	0	0	0	0	4	0	0	0	0	4	4	4
P2RY11	1	0	0	0	3	0	0	0	0	4	4	4
NEDD8	0	0	0	0	2	0	0	0	0	2	2	2
ULK2	0	0	0	0	2	0	0	0	0	2	2	2
GATA2	0	0	0	0	1	0	0	0	0	1	1	1
